publication_number,title,abstract
US-8708192-B2,Dosage dispensing and tracking container with wireless communication,"A container for dispensing dosages of multiple medications over time. The present invention includes a container which has a plurality of compartments each configured to contain a plurality of dosages of a different medication. A rotatable lid is attached on top of the container such that an opening in the lid may be selectively positioned in fluid communication with each of the plurality of compartments. A lid position detection device is provided for identifying which of the compartments the opening is presently addressing. A programmable computing device is provided to track dosages administered from each of the plurality of compartments. A display, controlled by the programmable computing device, conveys information regarding the medication contained within a selected compartment. The ability to transmit and receive information from an external device or the Internet, either by a data port or wirelessly, is provided for increased functionality of the device."
US-9249622-B1,"Garage door track with inwardly hemmed sidewall, and reinforcing ribs to reduce the incidence of rollout",An improvement in garage door tracks which includes placing an inwardly pressed hem on the distal ends of the sections of track which surround the gap by which wheels from a garage door are placed into a track chamber. The hems on the distal end provide increased strength and a safer smoother edge. The inward hemming also does not interfere with the roller wheels of the garage door. This further solves the problem of track failure and bulge or crimping and causes less stress on the garage door track. A further innovation is to have strengthening ribs at different locations on the garage door track to provide further strength to the garage door track. A further innovation is to provide strengthening ribs at different locations on the garage door track to provide further strength to the garage door track.
US-9266054-B2,Durable adsorbent material and adsorbent packs and method of making same,"Provided herein are a parallel passage contractors, which may be useful in pressure swing adsorption (PSA), pressure and temperature swing adsorption (PTSA), or vacuum pressure swing adsorption (VPSA) systems, having one or more self-supported adsorbent sheets arranged in multiple, overlapping layers mechanically spaced to allow gas flow. Also provided are systems utilizing such parallel passage contactors and methods for preparing the contactors."
US-9267258-B2,Machinery foundation module,"An assembly for supporting machinery and a method for installing the same is disclosed. A frame module including: a base with at least one attachment location, the attachment location for receiving the machinery; and a plurality of frame members affixed to the base, wherein at least one of the frame members defines a plane corresponding to a wall. A foundation has first and second sections and is disposed around the frame module. A portion of the frame module is at least partially submerged within the foundation. The machinery has at least one flange for affixing the machinery to the foundation at the attachment location. The first section of the foundation is disposed below an outside surface of the base and the second section of the foundation defines the wall of the foundation."
US-6109789-A,Linear slide,"A linear slide includes an elongated guide rail and a sliding block straddling the guide rail. A plurality of rolling elements are disposed between the sliding block and the guide rail so that the sliding block is capable of sliding back and forth along the length of the guide rail. The rolling elements include cylindrical roller trains, which are carried on the upper surface of the guide rail, and rolling ball trains which are carried on the lateral surfaces of the guide rail."
US-4408115-A,Electrical resistance welding method and apparatus for same; and improved apparatus for testing welds,"In an electric resistance welding machine for welding structural members together along a common region of contact through the intermittent application of heat generating electrical energy to said region of contact the combination of; electrode means adapted to releasably contact and clamp said members together so as to exert an external force to said members for urging said members together at said regions of contact, and to transmit and apply said electrical energy to said members in said region of contact on an intermittent basis, transformer means associated with said electrode means for supplying said electrical energy to be intermittently applied to said members in said region of contact, control means for controlling the intermittent application of said electrical energy to said region of contact for a selected timed interval, including means for interrupting said application of said electrical energy for a selected timed interval so as to present a series of intermittent impulses of said electrical energy adapted to incrementally raise the temperature of said members in said region of contact in stages so as to minimize the escape of said heat energy from said members in said region of contact and effectively weld said members together at said region of contact, said control means including first timing means for activating said application of said several impulses of electrical energy for a limited period at preset selected timed intervals, and second timing means for activating said interrupting means for a limited period at preset selected timed intervals., In an electric resistance welding machine for welding structural members together along a common region of contact through the intermittent application of heat generating electrical energy to said region of contact the combination of; electrode means adapted to releasably contact and clamp said members together so as to exert an external force to said members for urging said members together at said regions of contact, and to transmit and apply said electrical energy to said members in said region of contact on an intermittent basis, transformer means associated with said electrode means for supplying said electrical energy to be intermittently applied to said members in said region of contact, control means for controlling the intermittent application of said electrical energy to said region of contact for a selected timed interval, including means for interrupting said application of said electrical energy for a selected timed interval so as to present a series of intermittent impulses of said electrical energy adapted to incrementally raise the temperature of said members in said region of contact in stages so as to minimize the escape of said heat energy from said members in said region of contact and effectively weld said members together at said region of contact, said control means including first timing means for activating said application of said several impulses of electrical energy for a limited period at preset selected timed intervals, and second timing means for activating said interrupting means for a limited period at preset selected timed intervals."
US-4408844-A,Eyeglass frame with structural spare key,"An eyeglass frame with structural spare key is provided comprising an eyeglass frame having a lens supporting member with opposed, spaced temple bars extending rearwardly from sides thereof with at least one of the temple bars having integrally incorporated therewith at a free end thereof a key to be used by the wearer of the eyeglass frame as a spare key for emergencies."
US-6854696-B2,Portable foldable floral fixture apparatus,"A portable, foldable display apparatus that can be folded into a structure that is approximately one foot wide so that it can be easily stored. The apparatus is fitted with wheels so that the apparatus can be easily moved once it has been set up. An optional telescoping advertisement sign is provided. Multiple levels of display surfaces are provided. The apparatus can be used to display floral arrangements or other articles. The apparatus can be easily manufactured with display surfaces having different shapes to accommodate different merchandize."
US-6858243-B2,Pizza preparation and delivery method and unit,"The present invention relates to pizzas and pizza-type products preparation and delivery method. The present invention deals with a method for providing to consumer a freshly baked pizza-type food product using individually frozen ingredients, combining them and baking them in less than 5 minutes; the individually frozen ingredients and the pizza-type food product being respectively stored and baked in a mobile, compact and energetically autonomous baking-selling unit."
US-9566499-B2,Binding strap assist mechanism with a torsion spring,"A binding strap assist mechanism. The binding strap assist mechanism can be retrofit onto standard snowboard binding straps to bias the binding straps and an open configuration. Binding straps pass through the binding strap assist mechanism so that tensile stress along the length of each of these binding straps during use is not significantly conveyed to the binding straps assist mechanism. The tensile stress are thus isolated to the binding straps which are intended to carry such stresses. The present invention provides a safe and convenient feature to snowboard bindings and other bindings. Safety is achieved because even if the binding strap assist mechanism breaks or fails to function, the binding straps will continue to function as normal."
US-9568451-B2,Environment detecting apparatus employing an asymmetric waveform pulse generator,"An environment detecting apparatus employing an asymmetric waveform pulse generator is disclosed. The asymmetric waveform pulse generator comprises a metal oxide semiconductor field effect transistor (MOSFET) bridge circuit that comprises a plurality of MOSFETs for inverting high voltage DC voltage to asymmetric waveform pulses, a pulse-width modulating (PWM) circuit for generating PWM signals, and a plurality of isolation driving circuits corresponding to the plurality of MOSFETs, for controlling switching on/off of the plurality of MOSFETs in the MOSFET bridge circuit based on the PWM signals generated by the PWM circuit. Wherein each of the isolation driving circuits comprises an isolation transformer for isolating the MOSFET bridge circuit from the PWM circuit."
US-9579460-B2,Injection devices,An injection device operable to deliver a dose of medicament from a syringe or cartridge includes a temperature-sensitive arrangement for inhibiting operation thereof under predetermined temperature conditions. This may include a thermally responsive element that adopts a position in which operation of the device is inhibited when a temperature level is passed.
US-2006042235-A1,Rotary NOx trap,"One aspect of the invention relates to a NOx trapping device for a vehicle exhaust system having a plurality of NOx adsorbers. The device has a mobile framework configured to hold the NOx adsorbers and move them in sequence through a plurality of positions. A manifold channels exhaust to one or more of the NOx adsorber positions. The mobile framework is adapted to move the NOx adsorbers in and out of position to receive the exhaust. The adsorbers can be regenerated while they are not receiving any exhaust. The invention facilitates the use of multiple NOx adsorbers in an exhaust system, particularly the use of more than two adsorbers. The invention avoids complex exhaust valving, which is normally associated with multiple adsorber systems. In one embodiment, treated exhaust and exhaust from an adsorber undergoing regeneration are combined and supplied to an SCR reactor or an oxidation catalyst."
US-7012410-B2,Regulating system,"A regulating system comprises an input terminal for applying an input voltage, and an output terminal for providing an output voltage. A semiconductor element is connected between the input terminal and the output terminal and is operable to regulate the output voltage. A regulating signal generation circuit generates the regulating signal and comprises a current mirror arrangement including a first and second current mirror path, wherein a controlled current source is connected in series to the first current mirror path. The controlled current source induces a first current dependent on one of the output signals in the first current mirror path. A second current through the second current mirror path is dependent on the first current. A splitter circuit conducts the second current to the output terminal or to a reference potential, dependent on a load path voltage applied over the load path of the semiconductor element."
US-5787278-A,"Method and system for generating and mailing a system performance report, utilizing a report template with predetermined control commands for controlling the printer","A report generation system and method for generating a report at predetermined timed intervals is described. In accordance with the teachings of this invention, system usage data is read from a memory device. A report template file controls print control commands which identifies the system usage data which should be printed in a report along with the report format characteristics. The formatted report is then inserted into an envelope, ready to be mailed by the user. The present invention further includes a system and method for identifying a current version of software installed in a mailing system."
US-5838356-A,Print head thermocontrol,"A print head thermocontrol includes a combination of power electronics that can be preset with a software potentiometer and that regulates the amplitude of the print head voltage according to the ambient temperature, a control unit operating according to a predictive control method for supplying individual print elements with print pulses and preheating pulses of variable pulse duration and an allocated print control unit for producing a digital imprint."
US-2008063322-A1,Easy open re-closable packaging bag,"The invention teaches a new type of mesh bag suitable for machine packaging. The first end of the mesh bag is a reserved opening for filling and sealing. The second end of the mesh bag includes a one-pull, easy-open mechanism and a re-closing mechanism. The re-closing mechanism is a drawstring perforating around the second end of the mesh bag. The one-pull, easy open mechanism is a line of easy open stitches which sews a small strip of hard paper with the wall of the mesh bag at its second end. The two mechanisms can be pre-set in parallel or integrated in a same line with the small strip of the hard paper overlaid on the drawstring."
US-5582122-A,Feed system for a sewing machine,"An apparatus for automatically feeding one edge of a textile article to a sewing machine. The apparatus includes a first gripper adjacent to the sewing machine for gripping the leading portion of the edge of the textile article. A feed dog is adjacent to the first gripper for advancing the edge of the textile article with respect to the sewing machine. A second gripper grips the trailing portion of the edge of the textile article. A positioner supporting the second gripper means moves the second gripper with respect to the feed means. Finally, a programmable controller controls the movement of the positioner to advance the trailing portion of the edge of the textile article in response to the movement of the leading portion of the edge of the textile article."
US-5583752-A,Switching power supply for generating a voltage in accordance with an instruction signal,"A power supply includes a power converter 2 for generating an output voltage to be supplied to a load 3 from a power source 4, a filter 5 connected between power converter 2 and load 3, and a controller 10 for controlling the power converter 2, in which controller 10 applies a voltage instruction value v r  applied as an input to circuitry which implements an operation element A defined as: ##EQU1## subtracts the output voltage from instruction voltage v r , and applies the difference to power converter 2."
US-5585079-A,Method for leaching material containing zinc oxide and zinc silicate,"The invention relates to a method for recovering zinc from a zinc oxide bearing material containing silicates. According to the method, the leaching of zinc compounds is carried out in circumstances where the silicates remain undissolved and consequently do not cause filtering problems. The silicate bearing residue is treated in a Waelz process, so that the major part of the silicic acid contained in the silicates is combined in the iron silicate slag formed in the Waelz process, and the zinc is returned into leaching mainly in oxidic form., The invention relates to a method for recovering zinc from a zinc oxide bearing material containing silicates. According to the method, the leaching of zinc compounds is carried out in circumstances where the silicates remain undissolved and consequently do not cause filtering problems. The silicate bearing residue is treated in a Waelz process, so that the major part of the silicic acid contained in the silicates is combined in the iron silicate slag formed in the Waelz process, and the zinc is returned into leaching mainly in oxidic form."
US-6225959-B1,Dual frequency cavity backed slot antenna,"A dual frequency cavity backed slot antenna and method of tuning the antenna, wherein the antenna comprises a plurality of stacked layers including a layer having a substrate with an accessible surface, the surface including thereon a continuous slot, first electrically conductive metallization disposed within the slot and extending to the slot, second electrically conductive metallization disposed external to the slot and at least one pair of frequency adjusting devices, one such device associated with the first metallization and the other device associated with the second metallization. The device pairs are either a foil and a tab, a pair of foils or a pair of indentations, one in each of the metallizations."
US-6227277-B1,Tire removal machine,"A tire removal machine comprising a rotary platform for supporting the wheel, means for acting on the tire bead and platform operating means, wherein the operating means are a single-phase electric motor with series excitation, connected to a single-phase feed line at 110V a.c. via a voltage rectifier, means being provided for limiting current absorption to a predetermined value."
US-6233233-B1,Distributed packet handling apparatus for use in a packet switch,"An integrated services digital network (ISDN) switch capable of switching packets in each of access switching subsystems, includes a plurality of access switching subsystems including a time switch, for providing interfaces with subscriber equipments by using the ISDN standard interfaces; an interconnection network subsystem including a space switch, connected to the access switching subsystems, for performing functions such as space switching and network synchronization; and a central control subsystem, connected to the interconnection network subsystem, for supervising and controlling overall functions performed in each subsystem in the ISDN switch."
US-5495754-A,Environmental wind tunnel,"An environmental wind tunnel for producing air flow over an automotive vehicle includes a source of air under pressure and an elongated housing for receiving an automotive vehicle. The environmental wind tunnel has an upstream end coupled to the downstream end of the source of air under pressure, so that air is blown axially through the housing from its upstream end to its downstream end. The environmental wind tunnel also includes a large area ratio contraction with large area corner sections, large area duct work with a low angle diffuser, a large area fan, and acoustic treatments on the turning vanes, test chamber walls, and corner duct interior surfaces. In addition, in-flow acoustic absorption panels, and one or more flow conditioning screens may also be included in the environmental wind tunnel."
US-2004069826-A1,Positional holder for retaining a cylindrical or semi-cylindrical device,"The present invention includes a device that positions and holds a cycle or cycle-like vehicle or potentially a gas cylinder or aircraft gear or any cylindrical or semi-cylindrical device in a desirable position with a means for additionally securing the positioning and holding arrangement by use of a lock or locking mechanism. The positioning and holding device can retain the vehicle for an indefinite period of time and provides for a safe, quick, and efficient means for holding a tube or tube-like fork suspension and steering portion of the vehicle. Specially designed center and rear cushions complete with an actuator and connecting means allows for precision alignment during the positioning and subsequent holding action. The positional holder was originally designed for motor-cross (MX) motorcycles, but the present invention has also been designed for bicycles, street motorcycles, aircraft gear, compressed air cylinders and basically any device which requires a semi-circular positioning and holding mechanism."
US-6724067-B2,Low stress thermal and electrical interconnects for heterojunction bipolar transistors,"A thermal and electrical interconnect for heterojunction bipolar transistors is disclosed wherein the interconnect is essentially comprised of gold and in thermal and electrical contact with each of the interdigitated emitter fingers and is capable of transporting heat fluxes between 0.25-1.5 mW/μm2. The interconnect is electrodeposited to form a low-stress interface with the emitter finger, thereby increasing the lifetime and reliability of the transistor."
US-6765487-B1,Underwater detection and deterrent system,A method and apparatus for detecting and deterring underwater threats is provided that uses numerous anodes and sensors around a ship or other waterborne structure to monitor for intruders and issue electrical shocks to the intruders in increasing amounts to deter sabotage. The underwater detection and deterrent system would provide an alarm and the approximate location of the intruder when the electrical field changes in response to the intruder. The system is capable of providing a lethal electrical shock to the intruder if necessary.
US-5390212-A,Installation for producing molten metal in an electric furnace,"Installation for producing steel by melting scrap comprising an electric furnace (2&#39;) supplied with individual batches of scrap sequentially charged into the furnace after preheating in a preheating chamber (4) forming a batch container open at both ends and having a releasable bottom. The preheating chamber is mounted on a transporting device for movement between a first, preheating position, in which it is connected to a hot gas circulating circuit, and a second position in which it empties the batch of preheated scrap into the furnace. The lower portion of the side wall of the preheating chamber (4) forms a skirt (43) with a wide downwardly directed opening, and the chamber (4) is combined, in the preheating position, with a movable device (54) for sealably engaging the lower end (42) of the skirt (43) with a matching stationary base plate (3), whereby the skirt is sealed in the preheating position."
US-6454300-B1,Air bag tether release assembly,A release mechanism of efficient construction and operation is provided to hold profile restraining air bag tethers in a shortened operative condition under a first set of predetermined conditions and to extend such tethers under a second set of predetermined conditions. The extension of the restraining tethers may be carried out in conjunction with the delivery of an increased volume of inflating gas to the air bag cushion utilizing a gas emitting inflator in conjunction with a dynamic variable inflation device to effect delivery of a proper volume of inflation gas while releasing the tethers from a restrained length condition.
US-4748772-A,Apparatus for the precision working of the tooth system of bevel gears,"For the precision working of particularly hardened bevel gears, a method and an apparatus are disclosed in which the workpiece is moved during rolling contact with a bevel-gear-shaped tool having abrasive flanks. Workpiece and tool rotates in meshing relation with their axis spaced and crossed and each connected with a guide gear which also meshing engage and roll with one another. Both the workpiece-tool pair and also the guide-gear pair run each with backlash, however, on opposite flanks, so that the entire combination runs without backlash."
US-4749958-A,Operational amplifier,"The invention relates to an operational amplifier, particularly for signal amplification requiring high accuracy and extremely high speed which includes bandwidth, slew rate and settling time. A current feedback can be implemented with a low impedance inverting input for an increased high frequency performance. The operational amplifier according to the present invention has an input stage providing a pair of output signals, thus preserving a differential nature of the input signal of the operational amplifier. A power amplifier means is coupled to the input stage for amplifying and converting the output signals thereof into a single output signal. A very high open loop gain and save phase margin are obtained with a low number of amplification stages as the input stage has inherently a high voltage gain and the output signals thereof are amplified separately, whereby the common base configuration is preferred."
US-6324839-B1,Exhaust manifold for internal combustion engines,An exhaust manifold which includes a flange to be fixed on an engine cylinder head. A wide exhaust gas collecting cavity is connected to the flange to receive exhaust gases discharged by exhaust pipes of the cylinder head. The wide collecting cavity has a recessed wall element subdividing the cavity into two mutually communicating sub-cavities. An end portion is connected to the collecting cavity outlet and has a discharge outlet for the exhaust gases.
US-6331711-B1,"Correction for systematic, low spatial frequency critical dimension variations in lithography","In scanning lithography as used in the semiconductor industry, systematic variations in critical dimension feature size which depend on the substrate coordinates are compensated for in a lithography tool. This is done by determining (experimentally or theoretically) low frequency variations in the critical dimensions on the target caused by imperfections in the lithography tool and/or the resist and/or the process steps. These low frequency spatial errors are compensated for, after the primary scanning exposure using the original pattern data, by a secondary scanning exposure of the target using a weaker intensity and relatively larger diameter exposure beam. The secondary exposure is also carried out at a larger address size (address grid) than is the primary exposure so it is relatively fast in terms of throughput. Since the secondary exposure is additive to the more intense primary exposure, relative critical dimension control is provided in fine increments but with relatively minor adverse impact on throughput and thus fabrication cost. Thus the detected systematic variation defects are compensated for without requiring the primary exposure to be performed at a smaller address size."
US-6298236-B1,Method of use of a control channel in a cellular communications system,"A microcellular communication system which broadcasts its local channel block, including the control channels allotted from a total channel block to the microcellular system, on all control channels being used by the system. A mobile unit seeking access to the microcellular system initially searches the total channel block in an effort to receive the local channel block information broadcast by the microcellular system. The mobile unit compares received local channel block information with stored total channel block information and replaces its memory content with the newly received information. Periodic searching of stored channel block information is conducted to verify that the mobile unit has the relevant channel block information for the local microcellular system."
US-6298820-B1,Apparatus and method of protecting a water pump driven by a combustion engine from high speed damage,"An apparatus and method for automatic shut-off of a combustion engine driving a fluid pump of a fluid displacement unit is presented. The apparatus and method are designed to protect the fluid displacement unit form damage due to excessively high running speeds by shutting off the combustion engine and to automatically reset the combustion engine for manual restart subsequent to the combustion engine spinning down to a rest., An apparatus and method for automatic shut-off of a combustion engine driving a fluid pump of a fluid displacement unit is presented. The apparatus and method are designed to protect the fluid displacement unit form damage due to excessively high running speeds by shutting off the combustion engine and to automatically reset the combustion engine for manual restart subsequent to the combustion engine spinning down to a rest."
US-6305237-B1,Bicycle shift control device for controlling a gas actuated shifting device,"A bicycle shift control device for controlling a gas actuated shifting device includes a housing; a first gas valve actuating member; a second gas valve actuating member; a first shift member coupled to the housing for movement in a first direction, wherein the first shift member is operatively coupled to the first gas valve actuating member; and a second shift member coupled to the housing for movement in a second direction, wherein the second shift member is operatively coupled to the second gas valve actuating member."
US-5037668-A,Radiation cure release coatings without silicone,"The invention relates to acrylate polymer and copolymer release coatings containing amounts of polyfluoropolymer powder sufficient to alter the adhesion of the release coating on a support after radiation curing of the formulation producing said coating., The invention relates to acrylate polymer and copolymer release coatings containing amounts of polyfluoropolymer powder sufficient to alter the adhesion of the release coating on a support after radiation curing of the formulation producing said coating."
US-5953948-A,Wire rolling apparatus,"In a wire rolling apparatus, a pair of first wall portions of a roll housing support the rotating shaft of a backup roll, and a second wall portion connects the pair of first wall portions to each other. Even if a large force is applied to the rotating shaft of the backup roll not only perpendicular to the wire feed direction but also opposite to it, the pair of first wall portions do not distort easily. Accordingly, the degree of abutment of the backup roll against the outer circumferential surface of the work roll is not easily altered, and a stable desired pressure can be obtained, so that a wire can be rolled with high precision."
US-5954037-A,Redundant magneto for race car,"The present invention is directed to a magneto having two sets of primary windings and no secondary windings which will allow the magneto to function as an ignition source even though one set of primary windings fail. Each primary winding provides current to an independent set of points, condensers, high voltage transformers, and then to a common distributor. The magneto will also continue to function even though one set of points, one condenser, one high voltage transformer or one secondary winding fails. The primary windings are formed, by winding two wires joined by insulation onto a common laminated core."
US-5959627-A,Method and device for user-presentation of a compilation system,"For visual user-presentation of a compilation system for multiple audio and/or visual items each item is associated with various attributes that each express a category, a value, or a label, and through selection among the items produces a compiled subset of items. In particular, the presentation is multidimensional in parallel over the various attributes, that each allow said selection therein on a uniform level. Through each selection presentation of items that discord with the actual selection is suppressed, so that each selection diminishes the multidimensionality of said presentation. Furthermore, a selection of effectivity controls is displayed."
US-8715267-B2,"Assemblies, systems, and methods for vacuum assisted internal drainage during wound healing","Assemblies, systems, and methods convey fluid from an internal wound site or body cavity by applying negative pressure from a source outside the internal wound site or body cavity through a wound drain assembly that is placed directly inside the internal wound site or body cavity."
US-8722099-B2,Porous bioceramic composition for bone repair,"The present invention relates to a porous bioceramic composition for bone repair and method of fabrication of the same. 3D-scaffolds were fabricated with a novel micro- and macro-architecture. Porous scaffolds based on dextrin, dextran, gelatin and biomineral (CaCO 3 ) powder were fabricated by heating and freeze-drying methods. Fabrication of different compositions of porous scaffolds (20, 30 wt % of gelatin, 20, 40 wt % dextrin, 30, 40, 50, 60 wt % dextran bounder with the constant quantity of CaCO 3  50 g). The scaffolds properties were characterized by x-ray diffraction (XRD), differential scanning calorimetry (DSC), scanning electron microscopy (SEM) and compression tests."
US-8727169-B2,Metallic beverage can end closure with offset countersink,"The present invention describes a beverage container end closure that utilizes less material and has improved internal buckle strength based on the geometric configuration of a chuck wall, inner panel wall, outer panel wall, and central panel and that utilizes an outwardly oriented countersink., The present invention describes a beverage container end closure that utilizes less material and has improved internal buckle strength based on the geometric configuration of a chuck wall, inner panel wall, outer panel wall, and central panel and that utilizes an outwardly oriented countersink."
US-8342018-B2,High accuracy battery-operated MEMS mass flow meter,"With increasing demands on data communication and remote control in current industrial processes or gas measurement applications, development of new technologies would be necessary. The current invention presents a MEMS mass flow meter that are cost compatible with conventional variable area flow meters while providing all digital data process including accumulated flow rate measurements, user programmable flow rate alarm and flow data storage. These in-line meters provide packages in pipe diameter from 4 mm up to 100 mm. It is powered with battery and can be used as a stand-alone hand-held option. The meter is also equipped with the industrial standard RS485 Modbus communication interface for easy network and remote management."
US-8347485-B2,Centrifugally-cast shorted structure for induction motor rotors,"A procedure for centrifugally casting a shorted structure around induction motor rotors is described. The method is commonly applied to a plurality of rotors disposed and arranged for rotational balance and supported on a suitable support, or optionally, on a plurality of supports arranged in layered fashion about a common rotational axis. The method comprises forming a wax representation of the shorted structure around a lamination stack; mounting a plurality of such lamination stacks in a mounting fixture and-attaching a suitable gating and runner system; forming an investment by coating the structure with refractory followed by melting out the wax; casting molten metal into the investment while it is rotating and aligning the mold to allow the centrifugal force generated to promote mold filling; and, continuing to rotate the investment until solidification is substantially complete."
US-9421027-B2,Method of creating a shear stress field with medical device,"An ultrasonic horn for use with an ultrasonic surgical hand piece including a resonator comprises a contacting annulus having a plurality of angled lands. The lands are alternated around the annulus such that adjacent lands have opposite angles. As a result of the adjacent angled lands, a shear stress field is developed in contacted tissue due to the promotion of refracted longitudinal ultrasonic waves propagating in different directions at the interface to the coupled tissue. The shear stress field enhances the fragmentation and removal rate of fibrous, elastic, and tenacious tissue. The horn is hollow permitting suction to be applied to the tissue for controlling tissue contact with the lands."
US-9430066-B2,Input classification for multi-touch systems,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for input classification for multi-touch systems. In one aspect, a method includes receiving data describing a first region of contact with a touch sensitive display, a second region of contact with the touch sensitive display, and a third region of contact with the touch sensitive display, the second region of contact being separate from the first region of contact and the third region of contact being separate from the first region of contact and the second region of contact. The method includes classifying the first region of contact as a touch point provided by a user&#39;s body part. The method includes classifying the second region of contact as incidental touch input provided by a user&#39;s resting body part. The method includes classifying the third region of contact as a stylus input."
US-4489388-A,Plot generator,A method and apparatus for reducing radar target data which must be processed by a data processor. The area covered by the radar is divided into a number of range-azimuth zones and a standard number of data to be processed for each zone is established. A target azimuth extent for each zone is continually adjusted to keep the number of data processed for each zone within the standard number for that zone.
US-2012047617-A1,Tracheostomy bib,The combination of a tracheostomy bib and a pipe support collar includes a front wall connected to a back wall together defining a pocket which includes a pocket opening and a bottom. The front wall and back wall are connected at a right side and a left side and at the bottom to form an enclosed pocket having a pocket opening. The front wall includes an outer top edge which includes a frame for maintaining the pocket opening in an open position. The bib further includes supports for fastening the bib to the pipe support collar.
US-8134847-B2,Circuit arrangement and method for converting an alternating voltage into a rectified voltage,"A circuit for converting an alternating voltage into a rectified voltage includes a first transistor having a first terminal, a second terminal, and a control terminal. The first terminal is configured to receive the alternating voltage via an input terminal, and the second terminal is electrically coupled to an output terminal for outputting the rectified voltage. A control circuit includes a first input, a second input, and a first output. The first input is electrically coupled to the first terminal of the first transistor, the second input is electrically coupled to the second terminal of the first transistor, and the first output is coupled to the control terminal of the first transistor. The control circuit is configured to generate a first control signal based on a first voltage at the first input and based on a second voltage at the second input. The conversion circuit also includes a resistive circuit."
US-4518996-A,Synchronization system that uses all valid signals,"A synchronization system for serial digital television signals compares successive sync signals to form an error signal and also delays the digital signals. The information signal delay is changed during loss of signal by an amount in accordance with the error signal to resync the signal. Thus valid information occuring before loss of synchronization is utilized. The delay means can comprise a pair of RAMs., A synchronization system for serial digital television signals compares successive sync signals to form an error signal and also delays the digital signals. The information signal delay is changed during loss of signal by an amount in accordance with the error signal to resync the signal. Thus valid information occuring before loss of synchronization is utilized. The delay means can comprise a pair of RAMs."
US-6083914-A,Antithrombotic peptides,"Novel short peptides are disclosed which are selected from the group consisting of TAVTQTYGGNSNGEP and fragments thereof containing the minimal sequence TATQTY. These peptides are antithrombotic agents and mediate divalent cation-independent adhesion of platelets to fibronectin., Novel short peptides are disclosed which are selected from the group consisting of TAVTQTYGGNSNGEP and fragments thereof containing the minimal sequence TATQTY. These peptides are antithrombotic agents and mediate divalent cation-independent adhesion of platelets to fibronectin."
US-6092018-A,Trained neural network engine idle speed control system,"A electronic engine control (EEC) module executes a neural network processing program to control the idle speed of an internal combustion engine by controlling the bypass air (throttle duty cycle) and the engine&#39;s ignition timing. The neural network is defined by a unitary data structure which defmes the network architecture, including the number of node layers, the number of nodes per layer, and the interconnections between nodes. To achieve idle speed control, the neural network processes input signals indicating the current operating state of the engine, including engine speed, the intake mass air flow rate, a desired engine speed, engine temperature, and other variables which influence engine speed, including loads imposed by power steering and air conditioning systems. The network definition data structure holds weight values which determine the manner in which network signals, including the input signals, are combined. The network definition data structures are created by a network training system which utilizes an external training processor which employ dynamic gradient methods to derive network weight values in accordance with a cost function which quantitatively defines system objectives and an identification network which is pretined to provide gradient signals representative of the behavior of the physical plant. The training processor executes training cycles asynchronously with the operation of the EEC module in a representative test vehicle."
US-7072690-B2,Multi-band antenna and notebook computer with built-in multi-band antenna,"A multi-band antenna and a notebook computer with a built-in multi-band antenna are disclosed. Since the multi-band antenna is installed at the inner side of a upper and a lower case, it is much favored for a radio communication when a computer is in use by standing up a display device. The multi-band antenna includes at least two transmitting and receiving parts formed with different lengths to fit frequency bands, so that a remote communication of at least two or more bands can be made. The multi-band antenna is positioned between liquid crystal and a side wall of the lower case, and a grounding unit is installed to contact a liquid crystal frame. That is, since the grounding unit is grounded to the liquid crystal frame and the bracket, substantially, the liquid crystal frame and the bracket are wholly grounded to ensure a stable radio frequency communication."
US-6582276-B1,Toy washing machine,"A toy washing machine has a safety function to prevent the release of water and the like. The safety function locks the door of the toy washing machine when the machine is filled with water. As water is poured into the machine, it flows to a container positioned below an internal drum cabin. The container has a float that rises as the container fills with water. The rising of the float activates a lever device that is connected to a pin. The pin locks the door and prevents the door from opening when water is within the machine. The door of the machine has a seal made of heterotypic silicon rubber that prevents leakage."
US-6183410-B1,"Radiation exposure device for blood vessels, body cavities and the like","A device and method for irradiating with a desired radioactive emission the interior walls of blood vessels, body cavities and the like. The device includes a catheter for placement in the blood vessel, body cavity or the like, adapted for disposition adjacent the walls thereof. The distal end of the catheter is preferably configured to expand into a helical coil shape when unconstrained, but may be straightened when constrained within a second catheter. The catheter includes a section which is opaque to the radioactive emissions in question, and a wire slidably disposed therein for threading selectable distances into the catheter. A radioactive source is positioned at the distal end of the wire, and when positioned within the radio-opaque section of the catheter, radioactive emissions arc blocked from reaching adjacent tissue, allowing the radiation source to be safely guided to a target location. Upon reaching the target location, the radioactive source is moved out of the opaque section, and radioactive emissions are allowed to reach adjacent tissue for treatment. The radiation source is preferably retracted through the catheter at a variable rate, so as to vary the radiation exposure level of adjacent tissues."
